BOOST MOBILE - DEVICE HOTSHEET,,,,,,,,,,
Effective:3/17/23,,,,,,,,,,
Device Name,XP,"GSF(BTN/",SRP,Port-In Pricing (2),New Pricing (1),"Upgrade(Eligible)","Add A Line(XP/Legacy) (3)",ACP Pricing (1),Tier 1,
"",,,,Non-Platinum,Platinum,,(1),,,
Current Android SKUs on Promotion,,,,,,,,,,
SIM Kit,,,$9.99,$9.99,$9.99,$9.99,$9.99,,,
TCL Flip,Y,Y,$59.99,$19.99,$19.99,$19.99,$19.99,,$10.00,
TCL 30 Z,,Y,$99.99,Free,Free,$49.99,$49.99,,,
TCL 20 XE,Y,Y,$119.99,Free,Free,$59.99,$59.99,,$20.00,
Quality One Schok Flip +,Y,Y,$59.99,$29.99,$29.99,$29.99,$29.99,,$29.99,
Quality One Schok Volt SV55,Y,,$69.99,Free,Free,$59.99,$59.99,$5.00,$5.00,
TCL 30 XE 5G,Y,Y,$179.99,Free,Free,$5.00,$59.99,,,
Nokia C200,,Y,$119.99,Free,Free,$10.00,$59.99,,,
Nokia G100,,Y,$139.99,Free,Free,$69.99,$69.99,,,
moto g PURE,Y,Y,$129.99,Free,Free,$5.00,$49.99,,$25.00,
moto g play 2023,Y,Y,$129.99,Free,Free,$5.00,$59.99,,$25.00,
Samsung A02s,Y,Y,$109.99,Free,Free,$49.99,$49.99,,$25.00,
Samsung Galaxy A03s,Y,Y,$119.99,Free,Free,$10.00,$59.99,,,
Celero 5G,Y,Y,$159.99,Free,Free,$59.99,$59.99,$15.00,,
Celero 5G 2023,Y,Y,$179.99,Free,Free,$79.99,$79.99,$25.00,,
Celero 5G +,,Y,$289.99,$49.99,$49.99,$149.99,$149.99,,,
moto g power (Sim-Out Device),Y,Y,$169.99,Free,Free,$69.99,$69.99,$25.00,,
moto g 5G,Y,Y,$209.99,Free,Free,$59.99,$59.99,$25.00,,
Samsung A13 5G,Y,Y,$249.99,Free,Free,$59.99,$59.99,,,
Samsung A14 5G,Y,Y,$199.99,Free,Free,$99.99,$99.99,,,
moto g STYLUS 5G,Y,Y,$249.99,Free,Free,$79.99,$79.99,,,
moto g STYLUS 5G 2022,Y,Y,$259.99,Free,Free,$149.99,$149.99,,,
Samsung A23,Y,Y,$299.99,Free,Free,$229.99,$229.99,,,
Samsung A53,Y,Y,$449.99,$99.99,$99.99,$199.99,$199.99,,,
Renewed Samsung Galaxy S10,Y,,$349.99,Free,Free,$99.99,$99.99,,,
moto EDGE +,,Y,$749.99,$199.99,$199.99,$299.99,$299.99,,,Y
Samsung Galaxy S22 Ultra,Y,Y,"$1,199.99",$699.99,$699.99,$799.99,$799.99,,,Y
Samsung Galaxy S22,Y,Y,$799.99,$399.99,$399.99,$449.99,$449.99,,,Y
Samsung Galaxy S23,Y,Y,$799.99,$799.99,$799.99,$799.99,$799.99,,,Y
